txn_id,thread_id,latency_ms,retries
689,NoSQL-STM-thread-689,16070.08671760559,0
1246,NoSQL-STM-thread-1246,15886.362791061401,0
1248,NoSQL-STM-thread-1248,16809.868812561035,0
99,NoSQL-STM-thread-99,17183.220386505127,0
1273,NoSQL-STM-thread-1273,16807.798385620117,0
98,NoSQL-STM-thread-98,17190.46974182129,0
21,NoSQL-STM-thread-21,17210.476875305176,0
1371,NoSQL-STM-thread-1371,16820.78266143799,0
1331,NoSQL-STM-thread-1331,16838.595867156982,0
817,NoSQL-STM-thread-817,17020.692348480225,0
1306,NoSQL-STM-thread-1306,16849.599599838257,0
1265,NoSQL-STM-thread-1265,16868.117570877075,0
1357,NoSQL-STM-thread-1357,16834.51533317566,0
1175,NoSQL-STM-thread-1175,16902.72331237793,0
647,NoSQL-STM-thread-647,17076.74264907837,0
674,NoSQL-STM-thread-674,17073.04549217224,0
1309,NoSQL-STM-thread-1309,17758.408308029175,0
1329,NoSQL-STM-thread-1329,17752.734184265137,0
5,NoSQL-STM-thread-5,18181.752681732178,0
989,NoSQL-STM-thread-989,17883.46004486084,0
943,NoSQL-STM-thread-943,17900.95853805542,0
1353,NoSQL-STM-thread-1353,17756.226778030396,0
1354,NoSQL-STM-thread-1354,17796.504497528076,0
205,NoSQL-STM-thread-205,18158.63847732544,0
1039,NoSQL-STM-thread-1039,17913.663864135742,0
1379,NoSQL-STM-thread-1379,17790.45796394348,0
1351,NoSQL-STM-thread-1351,17801.67555809021,0
611,NoSQL-STM-thread-611,18051.36775970459,0
1085,NoSQL-STM-thread-1085,17899.590969085693,0
1119,NoSQL-STM-thread-1119,17888.039350509644,0
1361,NoSQL-STM-thread-1361,17801.135540008545,0
1365,NoSQL-STM-thread-1365,17805.05061149597,0
1161,NoSQL-STM-thread-1161,17880.51128387451,0
1395,NoSQL-STM-thread-1395,17794.891357421875,0
1063,NoSQL-STM-thread-1063,18874.81451034546,0
1384,NoSQL-STM-thread-1384,18761.643886566162,0
177,NoSQL-STM-thread-177,19140.515327453613,0
1165,NoSQL-STM-thread-1165,18844.51127052307,0
256,NoSQL-STM-thread-256,19119.678020477295,0
1073,NoSQL-STM-thread-1073,18878.005504608154,0
1327,NoSQL-STM-thread-1327,18788.85817527771,0
704,NoSQL-STM-thread-704,19002.490520477295,0
1432,NoSQL-STM-thread-1432,18841.31669998169,0
1461,NoSQL-STM-thread-1461,18833.01830291748,0
1420,NoSQL-STM-thread-1420,18851.606369018555,0
591,NoSQL-STM-thread-591,19132.44318962097,0
1416,NoSQL-STM-thread-1416,18857.458353042603,0
1398,NoSQL-STM-thread-1398,18879.933834075928,0
583,NoSQL-STM-thread-583,19154.69741821289,0
206,NoSQL-STM-thread-206,19280.789852142334,0
863,NoSQL-STM-thread-863,19913.291692733765,0
1477,NoSQL-STM-thread-1477,19693.25351715088,0
71,NoSQL-STM-thread-71,20158.57458114624,0
19,NoSQL-STM-thread-19,20173.789262771606,0
1486,NoSQL-STM-thread-1486,19745.712518692017,0
1437,NoSQL-STM-thread-1437,19765.796899795532,0
1483,NoSQL-STM-thread-1483,19748.942613601685,0
1529,NoSQL-STM-thread-1529,19701.847076416016,0
1530,NoSQL-STM-thread-1530,19701.826333999634,0
1551,NoSQL-STM-thread-1551,19696.48551940918,0
687,NoSQL-STM-thread-687,20031.052112579346,0
1550,NoSQL-STM-thread-1550,19762.561559677124,0
1156,NoSQL-STM-thread-1156,19960.400581359863,0
1479,NoSQL-STM-thread-1479,19859.979391098022,0
976,NoSQL-STM-thread-976,20087.027072906494,0
1508,NoSQL-STM-thread-1508,19895.945072174072,0
1308,NoSQL-STM-thread-1308,20754.003286361694,0
1389,NoSQL-STM-thread-1389,20724.445819854736,0
1565,NoSQL-STM-thread-1565,20633.633136749268,0
990,NoSQL-STM-thread-990,20874.070644378662,0
781,NoSQL-STM-thread-781,20942.99268722534,0
1559,NoSQL-STM-thread-1559,20637.510538101196,0
1569,NoSQL-STM-thread-1569,20650.58445930481,0
1558,NoSQL-STM-thread-1558,20655.76457977295,0
1474,NoSQL-STM-thread-1474,20719.631910324097,0
1557,NoSQL-STM-thread-1557,20659.89851951599,0
688,NoSQL-STM-thread-688,21046.767234802246,0
